State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.95642	3.93780	3.82609	3.69576	3.66783	3.53750	3.43045	3.30943	3.17444	3.10462	3.08135	2.87655	2.69967	2.71364	2.74622	2.72295	2.82069	2.81138	2.64847	2.61589	2.54142
2	3.71425	3.63780	3.47592	3.42196	3.33203	3.26008	3.15666	3.06673	2.93632	2.74746	2.54961	2.63505	2.68001	2.72498	2.76995	2.81491	2.72948	2.64404	2.85988	2.81941	2.86438
3	1.62665	1.57442	1.52219	1.48861	1.52219	1.59307	1.61919	1.77588	1.98481	2.20866	2.19747	2.21239	2.09674	2.06316	2.08928	2.19374	2.17509	2.19747	2.09301	2.05570	2.03331
4	1.33655	1.34734	1.38570	1.41087	1.42406	1.48639	1.56790	1.63743	1.69257	1.66380	1.69137	1.62664	1.61106	1.67699	1.64822	1.67339	1.72254	1.73213	1.72014	1.73213	1.70216
5	1.97180	1.93217	1.88923	1.90574	1.92886	1.97510	2.05107	2.10061	2.10722	2.11052	2.03456	2.00483	1.93547	1.81657	1.77033	1.77033	1.67785	1.69106	1.63821	1.62170	1.67455
6	1.47389	1.50091	1.51555	1.46600	1.45024	1.40971	1.37818	1.35228	1.31400	1.28810	1.24869	1.22054	1.22167	1.19352	1.16312	1.14173	1.15073	1.14623	1.16762	1.17213	1.15411
7	3.46720	3.46771	3.47927	3.49738	3.50342	3.49889	3.48380	3.46519	3.43250	3.39579	3.37517	3.32940	3.28866	3.25648	3.20166	3.12421	3.04726	2.96629	2.89336	2.82245	2.75103
8	1.07655	1.07092	1.06416	1.06191	1.07768	1.10133	1.10808	1.10470	1.12723	1.11259	1.09570	1.09006	1.10921	1.12948	1.16439	1.19029	1.18804	1.21957	1.23421	1.24997	1.27587
9	0.65031	0.65157	0.65244	0.65259	0.65147	0.64988	0.64949	0.64944	0.65181	0.65840	0.66611	0.67706	0.68496	0.68922	0.69703	0.70206	0.70972	0.71772	0.72537	0.73380	0.74136
10	0.93650	0.93332	0.93610	0.94801	0.95198	0.95833	0.96151	0.95952	0.95317	0.95039	0.94404	0.93570	0.93292	0.91704	0.90037	0.89719	0.88886	0.87893	0.87734	0.86544	0.86544
