State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	6.45427	7.68268	9.43285	11.26930	13.36869	14.84770	15.17227	13.85758	11.24876	7.65392	7.38277	17.46475	27.43990	35.29103	39.03788	39.02966	35.26638	29.40782	23.66430	18.96020	15.34893
2	3.97692	4.55639	5.55657	7.27911	9.89466	14.49471	22.10324	33.21637	45.83772	56.62541	61.12226	52.95807	41.51948	29.85862	21.26975	14.72491	9.87085	6.77108	4.85406	3.72687	2.85766
3	3.08557	3.45439	3.91871	4.76172	5.96368	7.73533	9.36538	10.21169	8.73312	4.94943	2.80237	2.60808	2.96373	3.50049	4.07677	4.21179	3.67832	3.01312	2.58832	2.19974	1.98899
4	2.57949	2.74031	2.91700	3.14130	3.40264	3.33810	3.06724	2.50225	1.90764	1.88753	1.75316	1.41353	1.23367	1.38391	1.53627	1.84944	2.13300	2.16685	2.07480	1.95207	1.81453
5	3.27675	3.28550	3.06102	2.73160	2.00861	1.41390	1.13112	0.97661	0.88624	0.85709	0.91248	0.87458	0.88332	0.98827	1.22732	2.18644	4.44577	6.91208	8.36387	8.93526	8.83906
6	1.38142	1.17570	0.95308	0.73444	0.60624	0.52772	0.48101	0.45716	0.43430	0.45319	0.44325	0.46313	0.47704	0.50089	0.52275	0.56350	0.73047	1.22142	1.89424	2.58793	3.25678
7	0.87806	0.82257	0.76797	0.69561	0.62858	0.56954	0.51405	0.47010	0.44569	0.43415	0.43814	0.44125	0.45945	0.47143	0.49185	0.53935	0.61837	0.74178	0.89626	1.06583	1.19323
8	0.91940	0.89555	0.87468	0.86176	0.83790	0.78622	0.72260	0.62718	0.55860	0.51586	0.52182	0.50493	0.52679	0.54767	0.59637	0.63315	0.66297	0.68781	0.68284	0.69378	0.71763
9	0.75248	0.73576	0.71202	0.67785	0.62789	0.56673	0.49457	0.42395	0.37904	0.35907	0.35090	0.35317	0.36651	0.38169	0.40154	0.42652	0.45796	0.48678	0.50886	0.52656	0.54034
10	1.27126	1.28352	1.28843	1.27406	1.25234	1.21800	1.14266	1.04455	0.93732	0.88546	0.84307	0.81959	0.86304	0.95379	1.04840	1.12409	1.17560	1.19662	1.21870	1.20538	1.21204
