State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.74696	14.59886	4.02208	2.16249	3.08167	7.38299	16.10900	0.14441
2	0.77320	65.96233	8.07950	1.24316	2.54988	61.12016	19.98673	0.46861
3	0.93191	1.42690	1.49565	1.09456	2.19770	2.80246	4.52187	0.29901
4	2.90048	1.03503	1.31261	1.18096	1.69155	1.75322	2.25636	0.42222
5	1.05267	0.30134	1.76755	2.26073	2.03477	0.91250	2.71145	0.11498
6	3.08785	0.43705	1.59963	2.28726	1.24770	0.44326	0.90808	0.13952
7	6.91310	0.65488	3.77144	2.17724	3.37451	0.43815	0.67899	0.27464
8	3.08748	0.62938	1.08427	0.80088	1.09581	0.52184	0.69460	0.90191
9	71.74840	0.27032	0.58521	0.80851	0.66618	0.35091	0.53975	1.09484
10	8.75796	0.71124	0.83809	0.91369	0.94414	0.84309	1.20258	1.62576
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
