State (Emission order)	H3K09me3	H3K36me3	H4K20me1	H3K79me2	H3K04me1	H3K04me2	H3K09ac	H3K27ac	H3K04me3	H3K27me3
1	0.004666879350577193	0.16370854278656571	0.1132604828341458	0.9690604759383372	0.571118255066658	0.9707300074931565	0.9621393581266995	0.9093669372784428	0.8953638219210178	3.614176813743605E-4
2	0.01128304169781641	0.0017241229474950234	0.004191245945993369	0.02414882275238224	0.1275197474460587	0.8276526006553121	0.758222656511262	0.778787950418866	0.935600740696657	0.09375319704849949
3	0.008002148537675672	0.024149346290022935	0.004089821700257556	0.037570340911564665	0.9595736938495816	0.8906515572598914	0.8045364753321299	0.7041942922046187	0.5602034718777558	4.913291590721399E-4
4	0.010723989399033174	0.01852534977025276	0.004986144436490108	0.011214993187721883	0.6490235032504004	0.19385551382979985	0.03952739073312936	0.038672149113956	0.016111699333040696	0.005124443394422802
5	0.011155873590707266	0.2644079170162219	0.20390778422391206	0.8829924309867433	0.8453977738543204	0.3359445175637175	0.1274633475542706	0.10898739506884766	0.05933253633186603	1.3181748881231338E-4
6	0.0398224209151209	0.2283744965495464	0.10630394785637869	0.6918539201151924	0.06762865829068518	9.276721649234631E-4	5.407822182291209E-4	0.001036088087796781	1.7093384720213482E-4	8.263705728930542E-5
7	0.00328087511336545	0.2071869397732181	0.019736541200353102	0.039995912725566546	0.014918171954200447	9.3895462168444E-5	3.254985550427347E-4	7.11345936678487E-4	1.1679347569333416E-5	2.7448534203203786E-5
8	0.46011638790718506	0.07543294573747697	0.004688781168884029	0.004003958337512981	0.0021911892164101767	4.0551840491553844E-4	3.1197509891286453E-4	1.998621154617214E-4	0.001912496241182039	0.005765489467349131
9	0.008743958815861281	9.222047509625955E-4	0.0014367568478764	1.9902850481936648E-4	0.002040920240795119	2.640682480237564E-4	4.216856284427652E-5	1.2789707657670385E-4	3.0429739945103646E-5	0.004769063522451146
10	0.011337596481694759	2.7059376509166945E-4	0.005769694369421025	8.164012812037757E-5	0.002654947079129743	0.005087569379925162	3.290756418480964E-5	1.1570479031046894E-4	2.135723142310869E-4	0.3787947125317944
